Activity_ID,Activity_Name,Schedule_Location,Schedule_Trade,Schedule_Start,Schedule_Finish,Parsed_Location_Prefix,Parsed_Pad_Numbers,Parsed_Work_Phase,Trade_Components,Matched_Physical_Locations,Number_of_Locations,Confidence_Score,Progress_Formula,Is_Excluded,Mapping_Notes
CON-3380,DCH1-Remove rock & remediate soil,DCH,Backfill,2025-04-27,2025-04-28,DCH1,,Main Phase,Backfill,Area-1; Area-2; Area-3; Area-4; Area-5; Area-6; Area-7; Area-8,8,HIGH,Sum(complete locations) / 8 * 100%,No,High confidence mapping
CON-3145,DCH1-Pour Slab West,DCH,Concrete Pour,2025-06-01,2025-06-06,DCH1,,Main Phase,Concrete Pour,Area-1; Area-2; Area-3; Area-4; Area-5; Area-6; Area-7; Area-8,8,HIGH,Sum(complete locations) / 8 * 100%,No,High confidence mapping
CON-3210,DCH1-Pour SOG Center (1),DCH,Concrete Pour,2025-06-05,2025-06-05,DCH1,,Main Phase,Concrete Pour,Area-1; Area-2; Area-3; Area-4; Area-5; Area-6; Area-7; Area-8,8,HIGH,Sum(complete locations) / 8 * 100%,No,High confidence mapping
CON-3205,DCH1-Pour Slab East (2),DCH,Concrete Pour,2025-06-08,2025-06-08,DCH1,,Main Phase,Concrete Pour,Area-1; Area-2; Area-3; Area-4; Area-5; Area-6; Area-7; Area-8,8,HIGH,Sum(complete locations) / 8 * 100%,No,High confidence mapping
CON-3970,DCH2-Pour Slab West (3),DCH,Concrete Pour,2025-06-09,2025-06-09,DCH2,,Main Phase,Concrete Pour,Area-9; Area-10; Area-11; Area-12; Area-13; Area-14,6,HIGH,Sum(complete locations) / 6 * 100%,No,High confidence mapping
CON-4435,DCH2-Pour Slab East,DCH,Concrete Pour,2025-06-20,2025-06-20,DCH2,,Main Phase,Concrete Pour,Area-9; Area-10; Area-11; Area-12; Area-13; Area-14,6,HIGH,Sum(complete locations) / 6 * 100%,No,High confidence mapping
CON-3710,DCH1-Install Insulation,DCH,Roofing Insulation,2025-06-13,2025-06-28,DCH1,,Main Phase,Roofing Insulation,Area-1; Area-2; Area-3; Area-4; Area-5; Area-6; Area-7; Area-8,8,HIGH,Sum(complete locations) / 8 * 100%,No,High confidence mapping
CON-4575,DCH2-Install Insulation,DCH,Roofing Insulation,2025-06-21,2025-06-28,DCH2,,Main Phase,Roofing Insulation,Area-9; Area-10; Area-11; Area-12; Area-13; Area-14,6,HIGH,Sum(complete locations) / 6 * 100%,No,High confidence mapping
CON-4985,MYD1-Backfill Pad-MCP01&2/UTC01&2,MYD,Backfill,2025-05-08,2025-05-15,MYD1,1; 2,Main Phase,Backfill,MCP1-Pad-1; MCP1-Pad-2; MCP1-Pad-2; MCP1-Pad-3; MCP1-Pad-4; MCP2-Pad-1; MCP2-Pad-1; MCP2-Pad-2; MCP2-Pad-3,9,HIGH,Sum(complete locations) / 9 * 100%,No,"Specific pads: [1, 2]"
CON-5275,MYD1-Backfill Pad-MCP-04/UTC 04,MYD,Backfill,2025-05-17,2025-05-26,MYD1,0; 4,Main Phase,Backfill,MCP1-Pad-4,1,HIGH,Binary: 0% or 100%,No,"Specific pads: [0, 4]"
CON-6325,MYD1-Backfill Pad-06&7/UTC 06&7,MYD,Backfill,2025-06-05,2025-06-17,MYD1,0; 6; 7,Main Phase,Backfill,,0,LOW,No locations matched,No,"Low confidence - manual review required; Specific pads: [0, 6, 7]"
CON-5185,MYD1-Pour Equipment Base Pad-MCP01&2 (PH2),MYD,Concrete Pour,2025-05-22,2025-05-26,MYD1,1; 2,Main Phase,Concrete Pour,MCP1-Pad-1; MCP1-Pad-2; MCP1-Pad-2; MCP1-Pad-3; MCP1-Pad-4; MCP2-Pad-1; MCP2-Pad-1; MCP2-Pad-2; MCP2-Pad-3,9,HIGH,Sum(complete locations) / 9 * 100%,No,"Specific pads: [1, 2]"
CON-7155,MYD1-Pour Equipment Base Pad-MCP-06 (PH 3),MYD,Concrete Pour,2025-06-19,2025-06-22,MYD1,0; 6,Main Phase,Concrete Pour,,0,LOW,No locations matched,No,"Low confidence - manual review required; Specific pads: [0, 6]"
CON-7165,MYD1-Pour Equipment Base Pad-MCP-06&7 (PH 4),MYD,Concrete Pour,2025-06-23,2025-06-23,MYD1,0; 6,Main Phase,Concrete Pour,,0,LOW,No locations matched,No,"Low confidence - manual review required; Specific pads: [0, 6]"
PCN-4115,EYD1-USS 01-Set (T1),EYD,Generator Placement,2025-06-17,2025-06-20,EYD1,1,Main Phase,Generator Placement,Pad-1; USS-01; USS-10; USS-11; USS-12; USS-13; USS-14; USS-15; USS-16; USS-17,13,MEDIUM,Weighted average across 13 locations,No,Specific pads: [1]
PCN-4120,EYD1-USS 02-Set (T1),EYD,Generator Placement,2025-06-17,2025-06-20,EYD1,2,Main Phase,Generator Placement,Pad-2; USS-02; USS-12; USS-20; USS-21; USS-22; USS-23; USS-24; USS-25; USS-26,10,HIGH,Sum(complete locations) / 10 * 100%,No,Specific pads: [2]
CON-24020,EYD1-USS 01-Pull Primary Cabling,EYD,Electrical Yard Equipment Conduit,2025-08-06,2025-08-19,EYD1,1,Main Phase,Electrical Yard Equipment Conduit,Pad-1; USS-01; USS-10; USS-11; USS-12; USS-13; USS-14; USS-15; USS-16; USS-17,13,MEDIUM,Weighted average across 13 locations,No,Specific pads: [1]
CON-24025,EYD1-USS 02-Pull Primary Cabling,EYD,Electrical Yard Equipment Conduit,2025-08-06,2025-08-19,EYD1,2,Main Phase,Electrical Yard Equipment Conduit,Pad-2; USS-02; USS-12; USS-20; USS-21; USS-22; USS-23; USS-24; USS-25; USS-26,10,HIGH,Sum(complete locations) / 10 * 100%,No,Specific pads: [2]
PCN-1175,Zone-01 Install Conveyance,Conveyance,Conveyance,2025-05-28,2025-06-03,Zone-01,,Main Phase,Conveyance,Conveyance-Zone-01,1,HIGH,Binary: 0% or 100%,No,High confidence mapping
PCN-1180,Zone-02 Install Conveyance,Conveyance,Conveyance,2025-06-08,2025-06-08,Zone-02,,Main Phase,Conveyance,Conveyance-Zone-02,1,HIGH,Binary: 0% or 100%,No,High confidence mapping
PCN-1185,Zone-03 Install Conveyance,Conveyance,Conveyance,2025-06-18,2025-06-19,Zone-03,,Main Phase,Conveyance,Conveyance-Zone-03,1,HIGH,Binary: 0% or 100%,No,High confidence mapping
B1-240,MEPF Trim Out,DCH,Multi-Trade,2025-07-01,2025-07-15,,,Trim Out Phase,Plumbing; Electrical; Mechanical; Fire,,0,LOW,No locations matched,No,Low confidence - manual review required
BG-180,MEP Rough Inspections,DCH,Inspection,2025-06-15,2025-06-16,,,Excluded,,,0,EXCLUDED,N/A - Excluded from physical tracking,Yes,Inspection/milestone activity - not physical work
B2-180,Access Floor System Rough-In,DCH,Access Floor,2025-07-28,2025-08-29,,,Rough-in Phase,Access Floor,,0,LOW,No locations matched,No,Low confidence - manual review required
GRID-001,Grid OH Rough Mechanical,DCH,Mechanical,2025-07-01,2025-07-10,,,Rough-in Phase,Mechanical,,0,LOW,No locations matched,No,Low confidence - manual review required
CON-3420,DCH2-Backfill/Fine Grade & Touch Up (West to East),DCH,Backfill,2025-06-18,2025-07-07,DCH2,,Main Phase,Backfill,Area-9; Area-10; Area-11; Area-12; Area-13; Area-14,6,HIGH,Sum(complete locations) / 6 * 100%,No,High confidence mapping
